name,adcode,lisa
三门峡,411200,HH
信阳,411500,LL
南阳,411300,HL
周口,411600,LL
商丘,411400,LL
安阳,410500,HL
平顶山,410400,LH
开封,410200,HL
新乡,410700,HL
洛阳,410300,HL
漯河,411100,HL
濮阳,410900,HH
焦作,410800,HH
许昌,411000,LL
郑州,410100,LH
驻马店,411700,HL
鹤壁,410600,LH
六安,341500,LL
合肥,340100,LH
安庆,340800,LL
宣城,341800,HH
宿州,341300,LL
亳州,341600,LL
池州,341700,HL
淮北,340600,HL
淮南,340400,LL
滁州,341100,LH
芜湖,340200,HH
蚌埠,340300,LL
铜陵,340700,HH
阜阳,341200,LL
马鞍山,340500,HH
黄山,341000,HH
南京,320100,LH
南通,320600,LL
宿迁,321300,HH
常州,320400,LL
徐州,320300,HH
扬州,321000,LL
无锡,320200,HL
泰州,321200,LL
淮安,320800,LH
盐城,320900,LL
苏州,320500,LL
连云港,320700,HH
镇江,321100,LL
东营,370500,HH
临沂,371300,HH
威海,371000,LL
德州,371400,HL
日照,371100,HL
枣庄,370400,HH
泰安,370900,HH
济南,370100,LH
济宁,370800,HH
淄博,370300,HL
滨州,371600,HL
潍坊,370700,LH
烟台,370600,LL
聊城,371500,LL
菏泽,371700,HL
青岛,370200,LL
