日期,AQI,质量等级,PM2.5,PM10,NO2,SO2,CO,O3,城市
2022-01-01,132,轻度污染,100,157,76,14,1.4,18,南昌
2022-01-02,127,轻度污染,96,148,60,13,1.4,103,南昌
2022-01-03,130,轻度污染,99,155,77,15,1.4,104,南昌
2022-01-04,122,轻度污染,92,129,53,12,1.2,88,南昌
2022-01-05,108,轻度污染,81,100,36,7,1.3,43,南昌
2022-01-06,35,优,24,34,24,6,0.8,41,南昌
2022-01-07,69,良,50,70,31,8,0.9,32,南昌
2022-01-08,95,良,71,96,36,9,1,45,南昌
2022-01-09,93,良,69,86,33,8,1,48,南昌
2022-01-10,83,良,61,78,40,8,1,41,南昌
2022-01-11,94,良,70,90,36,8,1,90,南昌
2022-01-12,120,轻度污染,91,126,61,11,1.2,55,南昌
2022-01-13,97,良,72,106,35,8,0.9,77,南昌
2022-01-14,119,轻度污染,90,120,41,11,1.1,37,南昌
2022-01-15,122,轻度污染,92,132,49,10,1.1,62,南昌
2022-01-16,139,轻度污染,106,139,55,10,1.3,48,南昌
2022-01-17,148,轻度污染,113,142,38,8,1.2,56,南昌
2022-01-18,178,中度污染,134,175,36,10,1.3,87,南昌
2022-01-19,112,轻度污染,84,128,45,9,1.3,74,南昌
2022-01-20,147,轻度污染,112,155,35,8,1.2,75,南昌
2022-01-21,109,轻度污染,82,107,32,6,1.1,32,南昌
2022-01-22,52,良,36,44,34,5,1,11,南昌
2022-01-23,37,优,7,11,29,5,0.9,19,南昌
2022-01-24,30,优,10,16,24,4,1.1,35,南昌
2022-01-25,40,优,28,32,25,3,1.3,29,南昌
2022-01-26,35,优,19,23,28,3,1.4,14,南昌
2022-01-27,28,优,14,18,17,4,1.1,55,南昌
2022-01-28,27,优,8,11,15,3,0.9,54,南昌
2022-01-29,30,优,21,22,12,3,0.7,55,南昌
2022-01-30,42,优,29,35,11,4,0.7,65,南昌
2022-01-31,54,良,38,46,11,5,0.7,65,南昌
2022-02-01,123,轻度污染,93,111,10,7,0.9,62,南昌
2022-02-02,65,良,47,60,8,4,0.8,68,南昌
2022-02-03,52,良,36,43,8,4,0.8,64,南昌
2022-02-04,35,优,24,31,12,4,0.7,70,南昌
2022-02-05,46,优,32,44,13,5,0.7,74,南昌
2022-02-06,78,良,57,74,15,5,0.8,63,南昌
2022-02-07,33,优,19,22,12,4,0.7,65,南昌
2022-02-08,35,优,24,31,13,4,0.7,66,南昌
2022-02-09,28,优,19,25,20,3,0.8,46,南昌
2022-02-10,36,优,25,33,23,4,0.8,56,南昌
2022-02-11,38,优,26,31,20,4,0.8,31,南昌
2022-02-12,54,良,38,47,27,4,1,23,南昌
2022-02-13,78,良,57,72,25,4,1,38,南昌
2022-02-14,54,良,38,50,24,4,0.9,82,南昌
2022-02-15,59,良,42,61,22,6,0.9,75,南昌
2022-02-16,108,轻度污染,81,108,24,6,1,50,南昌
2022-02-17,40,优,28,34,19,4,0.7,54,南昌
2022-02-18,25,优,14,16,20,4,0.7,41,南昌
2022-02-19,36,优,22,28,14,4,0.6,72,南昌
2022-02-20,72,良,52,70,20,6,0.7,75,南昌
2022-02-21,45,优,27,45,25,7,0.6,72,南昌
2022-02-22,35,优,24,31,23,4,0.6,70,南昌
2022-02-23,62,良,44,56,28,5,0.8,80,南昌
2022-02-24,63,良,45,66,40,5,0.8,102,南昌
2022-02-25,73,良,52,88,58,10,0.9,95,南昌
2022-02-26,80,良,59,102,61,12,1.1,87,南昌
2022-02-27,72,良,51,93,54,9,1,114,南昌
2022-02-28,79,良,53,102,63,13,1.1,117,南昌
2022-03-01,68,良,40,86,22,7,0.8,76,南昌
2022-03-02,80,良,48,110,38,7,0.8,130,南昌
2022-03-03,91,良,64,132,61,11,1.1,95,南昌
2022-03-04,65,良,45,70,29,5,0.9,118,南昌
2022-03-05,74,良,33,77,31,6,0.8,128,南昌
2022-03-06,63,良,29,76,22,4,0.8,72,南昌
2022-03-07,48,优,22,47,22,4,0.6,96,南昌
2022-03-08,57,良,26,63,43,8,0.6,105,南昌
2022-03-09,62,良,27,73,46,10,0.8,109,南昌
2022-03-10,78,良,31,83,56,11,0.8,133,南昌
2022-03-11,76,良,38,102,58,12,0.9,122,南昌
2022-03-12,76,良,38,102,51,12,0.9,129,南昌
2022-03-13,94,良,34,76,38,16,0.7,152,南昌
2022-03-14,65,良,34,79,38,12,0.8,79,南昌
2022-03-15,94,良,45,138,28,7,0.9,126,南昌
2022-03-16,61,良,35,72,41,10,0.8,108,南昌
2022-03-17,37,优,14,26,11,6,0.6,74,南昌
2022-03-18,29,优,13,25,16,5,0.6,58,南昌
2022-03-19,47,优,27,47,18,6,0.6,72,南昌
2022-03-20,57,良,40,58,19,5,0.8,33,南昌
2022-03-21,26,优,5,8,17,5,0.6,52,南昌
2022-03-22,32,优,6,9,12,4,0.5,63,南昌
2022-03-23,45,优,11,19,10,5,0.5,90,南昌
2022-03-24,41,优,15,25,14,5,0.5,82,南昌
2022-03-25,24,优,10,14,12,4,0.7,48,南昌
2022-03-26,41,优,22,30,11,5,0.7,81,南昌
2022-03-27,50,优,29,50,18,6,0.7,62,南昌
2022-03-28,57,良,17,36,19,7,0.5,108,南昌
2022-03-29,41,优,20,37,23,8,0.6,81,南昌
2022-03-30,32,优,21,30,25,6,0.8,49,南昌
2022-03-31,52,良,22,32,10,4,0.7,102,南昌
2022-04-01,51,良,32,52,18,6,0.6,88,南昌
2022-04-02,77,良,33,60,28,9,0.6,132,南昌
2022-04-03,86,良,35,69,40,8,0.6,143,南昌
2022-04-04,95,良,28,63,26,9,0.6,153,南昌
2022-04-05,83,良,29,67,39,8,0.6,139,南昌
2022-04-06,88,良,36,76,42,9,0.7,145,南昌
2022-04-07,88,良,32,86,53,10,0.8,145,南昌
2022-04-08,102,轻度污染,32,93,48,10,0.8,162,南昌
2022-04-09,99,良,31,84,44,13,0.7,158,南昌
2022-04-10,113,轻度污染,35,84,39,16,0.8,174,南昌
2022-04-11,132,轻度污染,45,100,40,12,0.8,195,南昌
2022-04-12,100,良,36,83,33,11,0.8,159,南昌
2022-04-13,47,优,11,21,10,4,0.7,93,南昌
2022-04-14,68,良,16,40,10,7,0.6,121,南昌
2022-04-15,42,优,19,38,11,6,0.7,84,南昌
2022-04-16,47,优,14,24,10,4,0.5,93,南昌
2022-04-17,40,优,23,39,19,5,0.6,80,南昌
2022-04-18,80,良,28,51,20,6,0.6,136,南昌
2022-04-19,85,良,41,76,31,13,0.8,142,南昌
2022-04-20,95,良,38,78,35,7,0.8,154,南昌
2022-04-21,76,良,36,71,32,9,0.8,131,南昌
2022-04-22,48,优,26,48,30,7,0.8,66,南昌
2022-04-23,55,良,11,18,8,6,0.7,106,南昌
2022-04-24,64,良,15,28,11,6,0.8,116,南昌
2022-04-25,40,优,11,25,13,5,0.6,80,南昌
2022-04-26,48,优,15,29,15,8,0.7,96,南昌
2022-04-27,59,良,21,37,13,7,0.8,110,南昌
2022-04-28,36,优,20,35,12,6,0.7,71,南昌
2022-04-29,63,良,11,20,8,5,0.5,115,南昌
2022-04-30,43,优,27,38,12,5,0.6,86,南昌
2022-05-01,52,良,36,54,16,6,0.6,92,南昌
2022-05-02,85,良,31,58,27,6,0.6,142,南昌
2022-05-03,88,良,27,59,39,7,0.7,145,南昌
2022-05-04,93,良,26,59,41,9,0.7,151,南昌
2022-05-05,104,轻度污染,28,60,43,10,0.7,164,南昌
2022-05-06,115,轻度污染,32,65,42,10,0.7,176,南昌
2022-05-07,64,良,41,77,43,9,0.7,100,南昌
2022-05-08,69,良,43,67,18,8,0.8,122,南昌
2022-05-09,39,优,20,27,13,6,0.7,78,南昌
2022-05-10,40,优,20,31,14,6,0.7,79,南昌
2022-05-11,74,良,35,52,14,7,0.8,128,南昌
2022-05-12,42,优,28,42,18,5,0.8,74,南昌
2022-05-13,74,良,29,47,13,5,0.7,128,南昌
2022-05-14,77,良,35,58,13,6,0.7,132,南昌
2022-05-15,72,良,26,38,14,6,0.6,126,南昌
2022-05-16,89,良,16,40,22,6,0.5,146,南昌
2022-05-17,106,轻度污染,29,60,38,8,0.7,166,南昌
2022-05-18,83,良,37,76,43,12,0.8,139,南昌
2022-05-19,58,良,40,65,24,7,0.8,103,南昌
2022-05-20,49,优,21,33,17,5,0.7,97,南昌
2022-05-21,61,良,24,45,26,7,0.7,113,南昌
2022-05-22,57,良,29,54,35,9,0.8,108,南昌
