日期,星期,最高温度,最低温度,天气,风向,城市
2022-01-01, 星期六 ,-21℃,-38℃,小雪,西北风 1级,南昌
2022-01-02, 星期日 ,-16℃,-26℃,多云,西风 3级,南昌
2022-01-03, 星期一 ,16℃,3℃,多云,东风 1级,南昌
2022-01-04, 星期二 ,16℃,9℃,阴,东北风 1级,南昌
2022-01-05, 星期三 ,8℃,7℃,多云,东北风 2级,南昌
2022-01-06, 星期四 ,3℃,2℃,阴,北风 1级,南昌
2022-01-07, 星期五 ,-12℃,-32℃,多云,东南风 2级,南昌
2022-01-08, 星期六 ,8℃,6℃,阴到小雨,东北风 1级,南昌
2022-01-09, 星期日 ,9℃,5℃,阴,北风 1级,南昌
2022-01-10, 星期一 ,10℃,2℃,阴到小雨,东风 1级,南昌
2022-01-11, 星期二 ,11℃,2℃,晴,东北风 1级,南昌
2022-01-12, 星期三 ,5℃,-3℃,霾,北风 2级,南昌
2022-01-13, 星期四 ,10℃,2℃,晴,北风 3级,南昌
2022-01-14, 星期五 ,5℃,3℃,小雨,西南风 3级,南昌
2022-01-15, 星期六 ,10℃,4℃,多云,西北风 1级,南昌
2022-01-16, 星期日 ,10℃,6℃,小雨,北风 1级,南昌
2022-01-17, 星期一 ,10℃,6℃,阴,东北风 1级,南昌
2022-01-18, 星期二 ,14℃,6℃,多云,东北风 1级,南昌
2022-01-19, 星期三 ,15℃,6℃,阴,东北风 2级,南昌
2022-01-20, 星期四 ,12℃,8℃,阴,北风 3级,南昌
2022-01-21, 星期五 ,-13℃,-30℃,晴,东北风 1级,南昌
2022-01-22, 星期六 ,10℃,8℃,小雨,北风 1级,南昌
2022-01-23, 星期日 ,10℃,8℃,阴,北风 2级,南昌
2022-01-24, 星期一 ,9℃,5℃,阴,北风 1级,南昌
2022-01-25, 星期二 ,8℃,6℃,多云,北风 2级,南昌
2022-01-26, 星期三 ,7℃,5℃,阴,北风 1级,南昌
2022-01-27, 星期四 ,6℃,4℃,小雨到中雨,北风 2级,南昌
2022-01-28, 星期五 ,5℃,2℃,小雨到中雨,北风 3级,南昌
2022-01-29, 星期六 ,5℃,1℃,小雪,西北风 2级,南昌
2022-01-30, 星期日 ,6℃,3℃,多云,北风 1级,南昌
2022-01-31, 星期一 ,6℃,3℃,多云,北风 2级,南昌
2022-02-01, 星期二 ,5℃,3℃,小雨,东北风 2级,南昌
2022-02-02, 星期三 ,3℃,2℃,小雨,北风 2级,南昌
2022-02-03, 星期四 ,4℃,3℃,雾,北风 2级,南昌
2022-02-04, 星期五 ,8℃,2℃,多云,北风 2级,南昌
2022-02-05, 星期六 ,10℃,3℃,雾,东北风 2级,南昌
2022-02-06, 星期日 ,6℃,3℃,雾,北风 2级,南昌
2022-02-07, 星期一 ,3℃,1℃,雨夹雪,北风 2级,南昌
2022-02-08, 星期二 ,5℃,2℃,多云,南风 2级,南昌
2022-02-09, 星期三 ,4℃,2℃,雨夹雪,西北风 2级,南昌
2022-02-10, 星期四 ,6℃,4℃,阴,北风 2级,南昌
2022-02-11, 星期五 ,6℃,4℃,中雨,北风 1级,南昌
2022-02-12, 星期六 ,7℃,4℃,小雨,北风 1级,南昌
2022-02-13, 星期日 ,7℃,5℃,小雨,北风 2级,南昌
2022-02-14, 星期一 ,10℃,4℃,雾,北风 1级,南昌
2022-02-15, 星期二 ,11℃,6℃,多云,北风 1级,南昌
2022-02-16, 星期三 ,11℃,6℃,多云,西风 1级,南昌
2022-02-17, 星期四 ,6℃,2℃,雨夹雪,西风 3级,南昌
2022-02-18, 星期五 ,3℃,2℃,中雨,北风 1级,南昌
2022-02-19, 星期六 ,6℃,3℃,多云,西北风 1级,南昌
2022-02-20, 星期日 ,5℃,3℃,多云,北风 1级,南昌
2022-02-21, 星期一 ,6℃,1℃,多云,西南风 2级,南昌
2022-02-22, 星期二 ,3℃,1℃,中雨,北风 2级,南昌
2022-02-23, 星期三 ,6℃,1℃,阴,东北风 2级,南昌
2022-02-24, 星期四 ,10℃,2℃,阴,西南风 2级,南昌
2022-02-25, 星期五 ,13℃,5℃,阴,东南风 2级,南昌
2022-02-26, 星期六 ,16℃,7℃,阴,西南风 1级,南昌
2022-02-27, 星期日 ,18℃,12℃,阴,东南风 2级,南昌
2022-02-28, 星期一 ,23℃,14℃,阴,西风 2级,南昌
2022-03-01, 星期二 ,0℃,-13℃,阴,西南风 1级,南昌
2022-03-02, 星期三 ,-1℃,-16℃,多云,西北风 1级,南昌
2022-03-03, 星期四 ,20℃,13℃,小雨,北风 1级,南昌
2022-03-04, 星期五 ,18℃,3℃,晴,西北风 2级,南昌
2022-03-05, 星期六 ,23℃,11℃,阴,北风 3级,南昌
2022-03-06, 星期日 ,15℃,8℃,阴,北风 3级,南昌
2022-03-07, 星期一 ,18℃,7℃,多云,北风 2级,南昌
2022-03-08, 星期二 ,19℃,10℃,晴,南风 1级,南昌
2022-03-09, 星期三 ,24℃,10℃,多云,东南风 2级,南昌
2022-03-10, 星期四 ,27℃,15℃,多云,东南风 1级,南昌
2022-03-11, 星期五 ,27℃,16℃,晴,东南风 2级,南昌
2022-03-12, 星期六 ,28℃,19℃,多云,南风 2级,南昌
2022-03-13, 星期日 ,28℃,18℃,多云,南风 2级,南昌
2022-03-14, 星期一 ,22℃,10℃,晴,南风 2级,南昌
2022-03-15, 星期二 ,27℃,18℃,晴,北风 2级,南昌
2022-03-16, 星期三 ,17℃,6℃,小雨,东北风 3级,南昌
2022-03-17, 星期四 ,22℃,10℃,小雨,西南风 2级,南昌
2022-03-18, 星期五 ,-2℃,-18℃,多云,东风 0级,南昌
2022-03-19, 星期六 ,7℃,3℃,多云,东北风 2级,南昌
2022-03-20, 星期日 ,14℃,8℃,多云,北风 3级,南昌
2022-03-21, 星期一 ,9℃,3℃,多云,东风 2级,南昌
2022-03-22, 星期二 ,2℃,-10℃,多云,西风 4级,南昌
2022-03-23, 星期三 ,17℃,5℃,晴,南风 4级,南昌
2022-03-24, 星期四 ,19℃,10℃,小雨,南风 2级,南昌
2022-03-25, 星期五 ,20℃,14℃,多云,北风 1级,南昌
2022-03-26, 星期六 ,15℃,11℃,多云,北风 1级,南昌
2022-03-27, 星期日 ,14℃,7℃,阴,东北风 2级,南昌
2022-03-28, 星期一 ,20℃,10℃,多云,东风 1级,南昌
2022-03-29, 星期二 ,22℃,11℃,阴,东南风 1级,南昌
2022-03-30, 星期三 ,19℃,16℃,小雨,北风 1级,南昌
2022-03-31, 星期四 ,2℃,-10℃,多云,西北风 4级,南昌
2022-04-01, 星期五 ,14℃,9℃,阴,东北风 3级,南昌
2022-04-02, 星期六 ,17℃,6℃,晴,东风 1级,南昌
2022-04-03, 星期日 ,21℃,10℃,多云,东北风 1级,南昌
2022-04-04, 星期一 ,22℃,13℃,多云,东北风 3级,南昌
2022-04-05, 星期二 ,26℃,12℃,晴,东风 3级,南昌
2022-04-06, 星期三 ,25℃,12℃,阴,东风 1级,南昌
2022-04-07, 星期四 ,28℃,17℃,晴,东北风 2级,南昌
2022-04-08, 星期五 ,30℃,17℃,晴,东南风 1级,南昌
2022-04-09, 星期六 ,31℃,18℃,晴,南风 2级,南昌
2022-04-10, 星期日 ,30℃,17℃,阴,南风 2级,南昌
2022-04-11, 星期一 ,12℃,-1℃,多云,北风 3级,南昌
2022-04-12, 星期二 ,21℃,11℃,多云,东风 2级,南昌
2022-04-13, 星期三 ,9℃,0℃,晴,西北风 2级,南昌
2022-04-14, 星期四 ,20℃,15℃,多云,北风 2级,南昌
2022-04-15, 星期五 ,16℃,11℃,小雨,北风 3级,南昌
2022-04-16, 星期六 ,13℃,11℃,小雨,东北风 2级,南昌
2022-04-17, 星期日 ,16℃,12℃,多云,北风 1级,南昌
2022-04-18, 星期一 ,20℃,12℃,多云,西风 2级,南昌
2022-04-19, 星期二 ,19℃,5℃,多云,南风 2级,南昌
2022-04-20, 星期三 ,26℃,14℃,晴,南风 1级,南昌
2022-04-21, 星期四 ,29℃,16℃,多云,南风 2级,南昌
2022-04-22, 星期五 ,11℃,1℃,多云,北风 1级,南昌
2022-04-23, 星期六 ,28℃,17℃,多云,南风 2级,南昌
2022-04-24, 星期日 ,30℃,21℃,小雨,南风 2级,南昌
2022-04-25, 星期一 ,29℃,22℃,多云,西风 2级,南昌
2022-04-26, 星期二 ,27℃,21℃,多云,北风 2级,南昌
2022-04-27, 星期三 ,27℃,21℃,多云,东北风 2级,南昌
2022-04-28, 星期四 ,25℃,21℃,小雨到大雨,东北风 2级,南昌
2022-04-29, 星期五 ,18℃,14℃,阴,北风 2级,南昌
2022-04-30, 星期六 ,17℃,14℃,小雨,西北风 2级,南昌
2022-05-01, 星期日 ,19℃,13℃,多云,西风 1级,南昌
2022-05-02, 星期一 ,14℃,3℃,多云,西风 3级,南昌
